Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
HISTO_GL.Contig296.Fgenesh_Aspergillus.21.final_new_mrna	0.059	No mitochondrial presequence	31(MPP)	0.065	35-39,78-82	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.Fgenesh_Aspergillus.125.final_new_mrna	0.000	No mitochondrial presequence	18(MPP)	0.000		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.Fgenesh_histo.42.final_new_mrna	0.094	No mitochondrial presequence	11(MPP)	0.182	1-5,74-78	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297-snap.93.final_new_mrna	0.000	No mitochondrial presequence	78(MPP)	-0.115	16-20,36-40,91-95	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GP.Contig38.Fgenesh_Aspergillus.13.final_new_mrna	0.040	No mitochondrial presequence	16(MPP)	0.125	55-59	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.Fgenesh_Aspergillus.57.final_new_mrna	0.004	No mitochondrial presequence	64(MPP)	0.109		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig471.Fgenesh_Neurospora.27.final_new_mrna	0.004	No mitochondrial presequence	32(MPP)	-0.031	30-34	12-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig658.Fgenesh_histo.82.final_new_mrna	0.000	No mitochondrial presequence	49(MPP)	0.061	29-33	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161d.Fgenesh_histo.26.final_new_mrna	0.000	No mitochondrial presequence	10(MPP)	-0.100		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZW.Contig284.Fgenesh_Aspergillus.12.final_new_mrna	0.008	No mitochondrial presequence	39(MPP)	-0.026	19-23,49-53,73-77	12-23-low	-	-	-	-	-	-	-	-	-	-	-	18-23	-	-	
HISTO_ZL.Contig1158.Fgenesh_histo.41.final_new_mrna	0.026	No mitochondrial presequence	72(MPP)	0.125		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_Aspergillus.92.final_new_mrna	0.213	No mitochondrial presequence	40(MPP)	0.150		4-13-high	-	-	-	-	-	17-22	-	-	-	16-21	-	-	-	-	
HISTO_LF.Contig359.eannot.2049.final_new_mrna	0.000	No mitochondrial presequence	10(MPP)	0.100	7-11	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127a.Fgenesh_Aspergillus.116.final_new_mrna	0.000	No mitochondrial presequence	20(MPP)	0.050	78-82,88-92	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.eannot.1975.final_new_mrna	0.000	No mitochondrial presequence	55(MPP)	-0.145		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.eannot.1678.final_new_mrna	0.000	No mitochondrial presequence	70(MPP)	-0.014	23-27,67-71	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BQ.Contig243.eannot.1087.final_new_mrna	0.000	No mitochondrial presequence	24(MPP)	0.125	1-5	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.Fgenesh_Neurospora.115.final_new_mrna	0.017	No mitochondrial presequence	35(MPP)	0.086	1-5,37-41	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_histo.105.final_new_mrna	0.000	No mitochondrial presequence	52(MPP)	-0.212	44-48	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93.fgenesh_plus.76.final_new_mrna	0.000	No mitochondrial presequence	43(MPP)	-0.070	56-60	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZY.Contig571f.Fgenesh_histo.7.final_new_mrna	0.000	No mitochondrial presequence	38(MPP)	-0.105	42-46,63-67	12-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.Fgenesh_Aspergillus.27.final_new_mrna	0.000	No mitochondrial presequence	93(MPP)	-0.118		1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	4-9	
HISTO_LG.Contig392.eannot.1650.final_new_mrna	0.055	No mitochondrial presequence	62(MPP)	0.177	59-63	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LY.Contig10.Fgenesh_Aspergillus.18.final_new_mrna	0.006	No mitochondrial presequence	63(MPP)	0.000		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317.Fgenesh_histo.47.final_new_mrna	0.000	No mitochondrial presequence	32(MPP)	-0.125		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.Fgenesh_histo.31.final_new_mrna	0.000	No mitochondrial presequence	22(MPP)	0.045		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LS.Contig1.Fgenesh_Aspergillus.1.final_new_mrna	0.000	No mitochondrial presequence	54(MPP)	-0.130		7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.eannot.2099.final_new_mrna	0.000	No mitochondrial presequence	44(MPP)	-0.091		6-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig601.Fgenesh_histo.77.final_new_mrna	0.000	No mitochondrial presequence	22(MPP)	0.091	14-18,39-43,76-80,87-91	16-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_histo.235.final_new_mrna	0.016	No mitochondrial presequence	63(MPP)	0.063		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1141.Fgenesh_histo.3.final_new_mrna	0.000	No mitochondrial presequence	36(MPP)	0.083		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161b.Fgenesh_histo.126.final_new_mrna	0.008	No mitochondrial presequence	28(MPP), 29(Icp55)	0.071	25-29,57-61,69-73,81-85	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig25.Fgenesh_histo.4.final_new_mrna	0.000	No mitochondrial presequence	52(MPP), 53(Icp55)	-0.058	49-53,54-58	18-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_histo.216.final_new_mrna	0.000	No mitochondrial presequence	36(MPP)	-0.222		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.eannot.2106.final_new_mrna	0.917	Possessing mitochondrial presequence	43(MPP), 44(Icp55)	0.163	6-10	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.genewise.5.final_new_mrna	0.189	No mitochondrial presequence	26(MPP), 27(Icp55)	0.077	11-15,23-27	7-16-high	-	-	-	-	-	-	-	-	-	-	-	10-15	11-16	-	
HISTO_ZE.Contig158-snap.56.final_new_mrna	0.000	No mitochondrial presequence	24(MPP)	-0.083		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.fgenesh_plus.77.final_new_mrna	0.013	No mitochondrial presequence	35(MPP)	0.057	1-5	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	1-6	-	
HISTO_JG.Contig206.eannot.1570.final_new_mrna	0.000	No mitochondrial presequence	20(MPP)	0.000		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_Aspergillus.187.final_new_mrna	0.000	No mitochondrial presequence	30(MPP)	0.067	27-31,70-74	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1089.Fgenesh_histo.200.final_new_mrna	0.016	No mitochondrial presequence	46(MPP)	0.065		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_histo.262.final_new_mrna	0.000	No mitochondrial presequence	32(MPP)	-0.094		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127a.genewise.9.final_new_mrna	0.018	No mitochondrial presequence	26(MPP)	0.038		13-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.Fgenesh_histo.122.final_new_mrna	0.000	No mitochondrial presequence	39(MPP)	0.077	69-73	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig181.Fgenesh_histo.136.final_new_mrna	0.037	No mitochondrial presequence	29(MPP)	0.103	48-52	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.eannot.2111.final_new_mrna	0.121	No mitochondrial presequence	50(MPP)	0.040	13-17	15-24-low	-	-	-	-	-	-	-	-	11-16	-	-	-	-	-	
HISTO_DU.Contig204.genewise.5.final_new_mrna	0.034	No mitochondrial presequence	18(MPP)	0.111		10-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19-snap.1.final_new_mrna	0.009	No mitochondrial presequence	15(MPP)	-0.067		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161a.genewise.3.final_new_mrna	0.000	No mitochondrial presequence	47(MPP)	0.064	28-32	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.Fgenesh_histo.149.final_new_mrna	0.003	No mitochondrial presequence	54(MPP), 55(Icp55)	0.185		16-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127c.Fgenesh_Aspergillus.64.final_new_mrna	0.013	No mitochondrial presequence	44(MPP)	0.000	86-90	21-30-high	-	21-26	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZQ.Contig188.Fgenesh_Neurospora.11.final_new_mrna	0.000	No mitochondrial presequence	8(MPP), 9(Icp55)	0.000		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_Aspergillus.251.final_new_mrna	0.000	No mitochondrial presequence	37(MPP), 38(Icp55)	0.054	63-67,94-98	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.eannot.1938.final_new_mrna	0.018	No mitochondrial presequence	6(MPP)	0.500	24-28	19-28-low	-	-	-	-	-	-	-	-	-	-	-	23-28	-	-	
HISTO_EA.Contig33.Fgenesh_histo.150.final_new_mrna	0.009	No mitochondrial presequence	23(MPP)	0.087		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.Fgenesh_Neurospora.21.final_new_mrna	0.005	No mitochondrial presequence	16(MPP)	0.125	32-36	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161a.Fgenesh_Aspergillus.77.final_new_mrna	0.000	No mitochondrial presequence	59(MPP)	-0.068	49-53	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161c.Fgenesh_Aspergillus.81.final_new_mrna	0.000	No mitochondrial presequence	37(MPP)	0.189		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GB.Contig114.Fgenesh_Aspergillus.28.final_new_mrna	0.000	No mitochondrial presequence	32(MPP)	-0.094	42-46,66-70,78-82	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZW.Contig245.fgenesh_plus.19.final_new_mrna	0.000	No mitochondrial presequence	54(MPP)	-0.130	44-48,51-55	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127c.Fgenesh_histo.150.final_new_mrna	0.000	No mitochondrial presequence	43(MPP)	-0.047		11-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93.Fgenesh_Neurospora.16.final_new_mrna	0.029	No mitochondrial presequence	42(MPP)	0.024		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.Fgenesh_histo.72.final_new_mrna	0.026	No mitochondrial presequence	34(MPP)	0.059	12-16,42-46	12-23-high	-	-	-	-	-	-	-	-	-	-	-	11-16	-	-	
HISTO_AAD.Contig1.Fgenesh_Aspergillus.5.final_new_mrna	0.000	No mitochondrial presequence	11(MPP)	-0.091		6-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GB.Contig114-snap.24.final_new_mrna	0.000	No mitochondrial presequence	73(MPP)	0.014		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig94.Fgenesh_Neurospora.7.final_new_mrna	0.003	No mitochondrial presequence	8(MPP)	-0.375		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1141.genewise.31.final_new_mrna	0.019	No mitochondrial presequence	22(MPP)	0.091		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig190.Fgenesh_histo.60.final_new_mrna	0.003	No mitochondrial presequence	34(MPP)	0.088		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.Fgenesh_histo.128.final_new_mrna	0.000	No mitochondrial presequence	7(MPP)	-0.143		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.Fgenesh_Aspergillus.18.final_new_mrna	0.043	No mitochondrial presequence	13(MPP)	0.077	4-8	3-12-high	-	-	-	-	-	-	-	-	-	-	-	3-8	-	-	
HISTO_GI.Contig363.Fgenesh_histo.73.final_new_mrna	0.010	No mitochondrial presequence	72(MPP)	0.056		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LZ.Contig14.eannot.1016.final_new_mrna	0.049	No mitochondrial presequence	6(MPP)	0.333	3-7	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1128f-snap.21.final_new_mrna	0.000	No mitochondrial presequence	61(MPP)	0.000	70-74	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161e.eannot.1264.final_new_mrna	0.000	No mitochondrial presequence	35(MPP)	0.171	52-56	8-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BQ.Contig243.Fgenesh_Aspergillus.8.final_new_mrna	0.000	No mitochondrial presequence	63(MPP)	0.016	71-75	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.Fgenesh_histo.23.final_new_mrna	0.021	No mitochondrial presequence	10(MPP)	0.300	10-14	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_Aspergillus.94.final_new_mrna	0.005	No mitochondrial presequence	21(MPP)	0.095	35-39,67-71	13-22-high	-	-	-	-	-	-	-	14-19	-	-	-	-	-	-	
HISTO_ZE.Contig158.Fgenesh_histo.82.final_new_mrna	0.000	No mitochondrial presequence	42(MPP)	0.000		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.Fgenesh_histo.9.final_new_mrna	0.003	No mitochondrial presequence	70(MPP)	0.029		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93-snap.89.final_new_mrna	0.000	No mitochondrial presequence	87(MPP)	0.011		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.eannot.1494.final_new_mrna	0.000	No mitochondrial presequence	59(MPP)	0.034	25-29,67-71	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1141.eannot.1165.final_new_mrna	0.222	No mitochondrial presequence	36(MPP)	0.111	16-20	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.Fgenesh_histo.161.final_new_mrna	0.038	No mitochondrial presequence	16(MPP)	0.062	93-97	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KW.Contig49.eannot.1031.final_new_mrna	0.003	No mitochondrial presequence	86(MPP)	-0.093	16-20,38-42	16-27-high	-	-	-	-	-	-	-	-	-	-	-	-	16-21	-	
HISTO_ZU.Contig65.eannot.1987.final_new_mrna	0.209	No mitochondrial presequence	55(MPP), 56(Icp55)	0.145		7-16-high	-	13-18	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.eannot.2171.final_new_mrna	0.000	No mitochondrial presequence	77(MPP)	0.013		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZY.Contig562f.Fgenesh_histo.11.final_new_mrna	0.000	No mitochondrial presequence	79(MPP)	0.013		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.eannot.2080.final_new_mrna	0.045	No mitochondrial presequence	52(MPP), 53(Icp55)	0.038	2-6	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.Fgenesh_Neurospora.32.final_new_mrna	0.000	No mitochondrial presequence	61(MPP)	-0.066	55-59	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.fgenesh_plus.63.final_new_mrna	0.087	No mitochondrial presequence	69(MPP), 70(Icp55)	0.014	3-7,74-78	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.eannot.2176.final_new_mrna	0.000	No mitochondrial presequence	44(MPP)	-0.136	63-67	18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BQ.Contig243.Fgenesh_histo.3.final_new_mrna	0.000	No mitochondrial presequence	24(MPP), 25(Icp55)	0.042		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FX.Contig167.Fgenesh_histo.39.final_new_mrna	0.000	No mitochondrial presequence	28(MPP), 29(Icp55)	0.036	22-26,26-30	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.Fgenesh_Neurospora.126.final_new_mrna	0.000	No mitochondrial presequence	32(MPP)	-0.031	29-33	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig190.Fgenesh_histo.53.final_new_mrna	0.000	No mitochondrial presequence	59(MPP)	-0.085	64-68	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.eannot.1748.final_new_mrna	0.239	No mitochondrial presequence	79(MPP), 87(Oct1)	0.152	15-19	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93.eannot.1655.final_new_mrna	0.033	No mitochondrial presequence	43(MPP)	-0.023		1-10-high	-	-	-	-	-	-	-	4-9	-	3-8	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_Aspergillus.181.final_new_mrna	0.000	No mitochondrial presequence	27(MPP)	-0.037	30-34	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161b.Fgenesh_histo.16.final_new_mrna	0.046	No mitochondrial presequence	77(MPP)	-0.039		19-28-low	-	9-14	-	-	-	7-12	-	-	-	6-11	-	-	-	-	
HISTO_ZZ.Contig127a.genewise.28.final_new_mrna	0.005	No mitochondrial presequence	42(MPP)	-0.095	39-43	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig601.eannot.1314.final_new_mrna	0.000	No mitochondrial presequence	7(MPP)	0.286	87-91	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig233-snap.4.final_new_mrna	0.006	No mitochondrial presequence	31(MPP)	0.065		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_histo.113.final_new_mrna	0.000	No mitochondrial presequence	19(MPP)	-0.211		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.Fgenesh_Neurospora.109.final_new_mrna	0.012	No mitochondrial presequence	29(MPP)	0.069		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig285.Fgenesh_Neurospora.10.final_new_mrna	0.000	No mitochondrial presequence	24(MPP)	0.083	7-11,59-63	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig600.Fgenesh_Aspergillus.2.final_new_mrna	0.000	No mitochondrial presequence	49(MPP)	-0.061	25-29,46-50	17-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FX.Contig167.Fgenesh_Neurospora.50.final_new_mrna	0.003	No mitochondrial presequence	18(MPP)	0.000		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LAJ.Contig1.eannot.1011.final_new_mrna	0.000	No mitochondrial presequence	60(MPP)	-0.100	17-21,89-93	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.eannot.1609.final_new_mrna	0.000	No mitochondrial presequence	70(MPP), 71(Icp55)	-0.029		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LN.Contig75.Fgenesh_Aspergillus.1.final_new_mrna	0.000	No mitochondrial presequence	42(MPP)	-0.167		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.fgenesh_plus.61.final_new_mrna	0.145	No mitochondrial presequence	17(MPP)	0.294	72-76	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317.eannot.1487.final_new_mrna	0.008	No mitochondrial presequence	15(MPP)	0.200	1-5	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597-snap.68.final_new_mrna	0.141	No mitochondrial presequence	13(MPP), 21(Oct1)	0.308	10-14,87-91	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127b.eannot.1427.final_new_mrna	0.999	Possessing mitochondrial presequence	66(MPP)	0.136	11-15,63-67	9-18-high	13-18	-	-	-	-	-	2-7	-	-	1-6	-	-	-	-	
HISTO_LG.Contig392.eannot.1829.final_new_mrna	0.000	No mitochondrial presequence	50(MPP)	-0.060		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.Fgenesh_histo.71.final_new_mrna	0.000	No mitochondrial presequence	38(MPP)	-0.026		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig382.eannot.1306.final_new_mrna	0.032	No mitochondrial presequence	25(MPP)	0.080	3-7	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JF.Contig157.Fgenesh_histo.23.final_new_mrna	0.159	No mitochondrial presequence	28(MPP)	0.036	58-62	1-12-high	-	-	-	-	-	-	-	1-6	-	-	-	-	-	-	
HISTO_BP.Contig457.Fgenesh_histo.126.final_new_mrna	0.000	No mitochondrial presequence	38(MPP)	-0.053		10-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.Fgenesh_histo.1.final_new_mrna	0.000	No mitochondrial presequence	60(MPP)	0.033		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_histo.9.final_new_mrna	0.014	No mitochondrial presequence	5(MPP)	-0.400		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296-snap.13.final_new_mrna	0.993	Possessing mitochondrial presequence	43(MPP)	0.163		6-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.eannot.2045.final_new_mrna	0.028	No mitochondrial presequence	49(MPP)	0.245	46-50	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FJ.Contig636.genewise.5.final_new_mrna	0.007	No mitochondrial presequence	6(MPP)	0.167		17-26-low	5-10	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.Fgenesh_histo.52.final_new_mrna	0.000	No mitochondrial presequence	12(MPP)	0.167		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig658.Fgenesh_histo.11.final_new_mrna	0.000	No mitochondrial presequence	35(MPP)	-0.057		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.eannot.1473.final_new_mrna	0.008	No mitochondrial presequence	39(MPP)	0.256	60-64	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_histo.339.final_new_mrna	0.672	Possessing mitochondrial presequence	34(MPP), 35(Icp55)	0.176	31-35	6-15-high	-	-	-	-	-	-	-	10-15	-	-	-	-	-	9-14	
HISTO_DM.Contig933.Fgenesh_histo.174.final_new_mrna	0.000	No mitochondrial presequence	20(MPP)	0.300		18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161c.Fgenesh_histo.131.final_new_mrna	0.000	No mitochondrial presequence	46(MPP)	0.065	68-72	11-20-low	-	-	-	-	-	11-16	-	-	-	-	-	-	-	10-15	
HISTO_GX.Contig297.eannot.1544.final_new_mrna	0.018	No mitochondrial presequence	19(MPP)	0.053		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_Aspergillus.103.final_new_mrna	0.008	No mitochondrial presequence	45(MPP)	-0.067		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.Fgenesh_Aspergillus.60.final_new_mrna	0.000	No mitochondrial presequence	40(MPP)	0.000		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296.Fgenesh_Neurospora.51.final_new_mrna	0.017	No mitochondrial presequence	39(MPP), 40(Icp55)	0.026		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_CU.Contig66f.eannot.1036.final_new_mrna	0.000	No mitochondrial presequence	86(MPP)	-0.070	38-42	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1128f.Fgenesh_histo.2.final_new_mrna	0.000	No mitochondrial presequence	60(MPP)	0.017		14-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.Fgenesh_Aspergillus.5.final_new_mrna	0.000	No mitochondrial presequence	57(MPP)	-0.070	24-28,67-71,73-77	21-30-high	-	-	-	-	-	-	-	-	-	-	-	23-28	-	-	
HISTO_GL.Contig296.Fgenesh_histo.34.final_new_mrna	0.274	No mitochondrial presequence	47(MPP), 48(Icp55)	0.085	1-5,44-48,53-57	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig2f.eannot.1086.final_new_mrna	0.000	No mitochondrial presequence	73(MPP)	-0.192	94-98	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
